Rv1464	csd	K11717
Rv0432	sodC	K04565
Rv0563	htpX	K03799
Rv3419c	gcp	K01409
Rv1315	murA	K00790
Rv1858	modB	K02018
Rv1311	atpC	K02114
Rv1310	atpD	K02112
Rv3383c	idsB	K13787
Rv2934	ppsD	K12443
Rv2852c	mqo	K00116
Rv0220	lipC	K01066
Rv2937	drrB	K01992
Rv2930	fadD26	K12426
Rv2931	ppsA	K12440
Rv2932	ppsB	K12441
Rv2029c	pfkB	K16370
Rv1014c	pth	K01056
Rv1447c	zwf2	K00036
Rv0764c	cyp51	K05917
Rv1238	sugC	K10112
Rv0663	atsD	K01130
Rv0551c	fadD8	K00666
Rvnt14	argT	K14219
Rv2572c	aspS	K01876
Rv2505c	fadD35	K00666
Rv1079	metB	K01739
Rv3323c	moaX	K03635
Rv3711c	dnaQ	K02342
Rv0655	mkl	K02065
Rvns01	rnpB	K01978
Rv1826	gcvH	K02437
Rv2726c	dapF	K01778
Rv2920c	amt	K03320
Rv1822	pgsA2	K00995
Rv1821	secA2	K03070
Rv1820	ilvG	K01652
Rv3409c	choD	K03333
Rv2587c	secD	K03072
Rv2150c	ftsZ	K03531
Rv1328	glgP	K00688
Rv1389	gmk	K00942
Rv0701	rplC	K02906
Rv1905c	aao	K00273
Rv1384	carB	K01955
Rv0070c	glyA2	K00600
Rv0705	rpsS	K02965
Rv1383	carA	K01956
Rv1885c	*MtCM	K04093
Rv1381	pyrC	K01465
Rv2130c	mshC	K15526
Rv0016c	pbpA	K05364
Rv1596	nadC	K00767
Rv0643c	mmaA3	K00574
Rv2291	sseB	K01011
Rv3806c	ubiA	K14136
Rv3842c	glpQ1	K01126
Rv3545c	cyp125	K15981
Rv0414c	thiE	K00788
Rv2193	ctaE	K02276
Rvnt40	proY	K14232
Rv2388c	hemN	K02495
Rv2196	qcrB	K03891
Rv1750c	fadD1	K00666
